deviceID,count
9E75B1,357
9E7CD5,338
9E7382,330
9E77A4,314
9E7735,305
9E7D3D,303
9EAD9E,302
9E7195,302
9E7CE2,296
9EADA8,295
9EAE91,295
9E7B04,293
9EAD9D,287
9EAAC7,285
9E6C09,284
9EB3BC,281
9E7564,279
9EAD6C,278
9EA865,272
9EDAFE,270
9E7CEA,269
9E73CF,268
9E6A25,267
9E7928,265
9E7CE0,258
9E7981,255
9E6A1A,250
9E7CEC,246
9E6FC4,245
9E6C11,235
9E773F,229
9E71B0,226
9E7568,226
9E7932,225
9EAE8D,224
9E7B0C,224
9EADD9,217
9E7CE3,216
9EB3C0,216
9E7385,216
9EA8AB,210
9EABAF,210
9E75CB,210
9EADA6,208
9E73DF,207
9EAD9B,201
9EAA76,201
9E6DD9,200
9EA8C2,199
9E779E,198
9EADFA,196
9E6C0F,194
9EA854,192
9EA860,178
9EAE12,176
9EAADA,173
9E796F,164
9E720B,163
9E720A,160
9EADA1,158
9E6BFF,155
9E773D,152
9E7920,151
9EAD62,149
9EADA4,145
9E7B0A,139
9EAA75,136
9EAFAD,126
9EAE85,124
9EAED0,123
9E6A19,113
9EABA3,108
9E7790,104
9E7971,99
9EADEA,98
9E7572,95
9EAAD0,93
9E756D,93
9E6FC8,93
9E71B1,89
9EB3CA,88
9E6DDD,82
9ED918,74
9EAE87,72
9EADFB,61
9EACE1,60
9E7752,58
9E756C,57
9EAE9F,51
9E71A0,51
9EAA77,50
9E797B,49
9E791E,47
9E7749,43
9EDAF5,42
9EAB9F,41
9EADA5,37
9EA853,33
9EAE00,29
9E7975,26
9E6DE9,26
9E7D3F,25
9EABAD,25
9E7386,24
9E73EA,24
9EAD73,23
9E6DEB,23
9E6FBD,22
9E773B,21
9EAE05,21
9E7D3E,20
9E7751,13
9E7D4C,11
9EAE9D,10
9E7986,8
9E6A22,6
9EADA7,4
9E7736,3
9E7380,3
9E6FC7,3
9E77A6,3
9EADA9,3
9E73E2,3
9E6A20,3
9E6C04,3
9EAB4A,3
9EADAA,2
9EAEA0,2
9EAD64,2
9EAE8A,2
9EAED1,2
9EAE0C,2
9EAE0A,2
9EACF7,2
9EAE9C,2
9E77AB,2
9E774A,2
9E7D48,2
9E7D46,2
9E7D49,2
9EA85C,2
9E792D,2
9EA857,2
9E7AF5,2
9EA8B6,2
9EAB53,2
9E73DD,2
9E6FB7,2
9E6A2C,2
9E6A18,2
9E6A29,2
9E6DF1,2
9E7197,2
