deviceID;msg_cnt;batch_ID;ec00;ec01;ec03;ec05;ec08;act_cnt;deact_cnt;boot_cnt;payload_cnt;1st_act;last_act;1st_deact;last_deact;1st_boot;last_boot;1st_payload;last_payload;lqi_avr;lqi_min;lqi_max;n_base_stations_avr;n_base_stations_min;n_base_stations_max;seq_max;runtime_total;runtime_act
9E75B1;357;;2;0;1;0;0;1;0;0;353;2025-03-11_19:35;2025-03-11_19:35;;;2025-02-28_09:48;2025-03-05_07:33;2025-03-11_20:33;2025-03-26_20:44;1.9327731092436975;1;3;1.022408963585434;0;2;362;26.455555555555556;15.047916666666667
9E7CD5;338;;2;0;0;0;0;1;0;0;335;2025-03-11_02:32;2025-03-11_02:32;;;2025-02-28_08:58;2025-03-05_06:38;2025-03-11_03:31;2025-03-25_07:33;1.9497041420118344;1;3;0.9497041420118343;0;3;344;24.94097222222222;14.209027777777777
9E7382;330;;2;0;0;0;0;1;0;0;327;2025-03-11_23:23;2025-03-11_23:23;;;2025-02-28_09:22;2025-03-05_06:45;2025-03-12_00:22;2025-03-26_23:14;1.906060606060606;1;2;0.48787878787878786;0;2;357;26.57777777777778;14.99375
9E77A4;314;;2;0;0;0;0;1;0;0;311;2025-03-11_23:19;2025-03-11_23:19;;;2025-02-28_08:51;2025-03-05_06:36;2025-03-12_00:17;2025-03-25_15:35;2.089171974522293;1;3;1.015923566878981;0;3;329;25.280555555555555;13.677777777777777
9E7735;305;;2;0;0;0;0;1;0;0;302;2025-03-11_15:22;2025-03-11_15:22;;;2025-02-28_09:46;2025-03-05_07:26;2025-03-11_16:21;2025-03-25_15:20;1.9901639344262294;1;2;0.05901639344262295;0;1;336;25.231944444444444;13.998611111111112
9E7D3D;303;;0;0;0;0;303;0;0;0;0;;;;;2025-03-05_10:36;2025-03-07_16:51;;;1.9966996699669968;1;3;0.45874587458745875;0;2;303;2.2604166666666665;
9EAD9E;302;;2;0;0;0;0;1;0;0;299;2025-03-11_23:13;2025-03-11_23:13;;;2025-02-28_09:00;2025-03-04_14:47;2025-03-12_00:11;2025-03-25_01:44;2.115894039735099;1;3;0.9105960264900662;0;2;317;24.697222222222223;13.104861111111111
9E7195;302;;2;0;0;0;0;1;0;0;299;2025-03-11_19:33;2025-03-11_19:33;;;2025-02-28_09:19;2025-03-05_07:06;2025-03-11_20:32;2025-03-25_15:19;1.9768211920529801;1;2;0.5198675496688742;0;2;331;25.25;13.823611111111111
9E7CE2;296;;1;0;0;0;295;0;0;0;0;;;;;2025-02-28_08:54;2025-03-07_15:10;;;2.0033783783783785;1;3;0.44932432432432434;0;2;297;7.261111111111111;
9EADA8;295;;0;0;0;0;295;0;0;0;0;;;;;2025-02-28_08:56;2025-03-02_19:55;;;2.0;2;2;0.0;0;0;315;2.457638888888889;
9EAE91;295;;2;0;0;0;0;1;0;0;292;2025-03-11_19:49;2025-03-11_19:49;;;2025-02-28_08:26;2025-03-05_08:08;2025-03-11_20:47;2025-03-26_15:08;1.8949152542372882;1;2;0.2847457627118644;0;1;359;26.279166666666665;14.80486111111111
9E7B04;293;;2;0;0;0;0;1;0;0;290;2025-03-11_23:20;2025-03-11_23:20;;;2025-02-28_09:12;2025-03-05_06:53;2025-03-12_00:18;2025-03-24_12:48;2.051194539249147;1;3;0.8737201365187713;0;2;305;24.15;12.561111111111112
9EAD9D;287;;3;1;0;0;0;1;0;0;282;2025-03-11_19:37;2025-03-11_19:37;;;2025-02-28_09:42;2025-03-05_07:21;2025-03-11_20:36;2025-03-25_14:59;1.5226480836236933;1;2;0.34494773519163763;0;2;333;25.22013888888889;13.806944444444444
9EAAC7;285;;2;0;0;0;0;1;0;0;282;2025-03-11_23:08;2025-03-11_23:08;;;2025-02-28_08:42;2025-03-05_07:50;2025-03-12_00:06;2025-03-25_10:19;1.936842105263158;1;2;0.23859649122807017;0;3;327;25.06736111111111;13.465972222222222
9E6C09;284;;2;0;0;0;0;1;0;0;281;2025-03-11_23:21;2025-03-11_23:21;;;2025-02-28_08:55;2025-03-04_14:50;2025-03-12_00:20;2025-03-24_08:28;2.0;1;3;0.7746478873239436;0;2;299;23.98125;12.379861111111111
9EB3BC;281;;2;0;0;0;0;1;0;0;278;2025-03-11_23:18;2025-03-11_23:18;;;2025-02-28_09:35;2025-03-05_07:11;2025-03-12_00:16;2025-03-24_10:37;2.0569395017793592;1;3;1.1245551601423487;0;3;297;24.043055555555554;12.471527777777778
9E7564;279;;2;0;0;0;0;1;0;0;276;2025-03-15_19:30;2025-03-15_19:30;;;2025-02-28_09:38;2025-03-05_07:47;2025-03-15_20:28;2025-03-27_13:15;2.017921146953405;1;3;1.1756272401433692;0;2;285;27.150694444444444;11.739583333333334
9EAD6C;278;;2;0;0;0;0;1;0;0;275;2025-03-11_23:13;2025-03-11_23:13;;;2025-02-28_08:50;2025-03-05_06:36;2025-03-12_00:11;2025-03-24_16:56;2.064748201438849;1;3;0.658273381294964;0;2;308;24.3375;12.738194444444444
9EA865;272;;2;0;0;0;0;1;0;0;269;2025-03-16_05:04;2025-03-16_05:04;;;2025-03-05_10:37;2025-03-05_12:03;2025-03-16_06:02;2025-03-27_13:36;2.0919117647058822;1;3;1.0073529411764706;0;3;274;22.124305555555555;11.355555555555556
9EDAFE;270;;2;0;0;0;0;1;0;0;267;2025-03-16_05:05;2025-03-16_05:05;;;2025-02-28_09:48;2025-03-05_07:48;2025-03-16_06:04;2025-03-27_13:30;2.348148148148148;1;3;1.211111111111111;0;2;273;27.154166666666665;11.350694444444445
9E7CEA;269;;2;0;0;0;0;1;0;0;266;2025-03-16_05:07;2025-03-16_05:07;;;2025-03-05_10:29;2025-03-05_11:58;2025-03-16_06:06;2025-03-27_13:11;2.200743494423792;1;3;1.0817843866171004;0;2;272;22.1125;11.33611111111111
9E73CF;268;;2;0;0;0;0;1;0;0;265;2025-03-16_05:12;2025-03-16_05:12;;;2025-02-28_08:39;2025-03-05_08:14;2025-03-16_06:10;2025-03-27_13:57;1.9888059701492538;1;3;0.7126865671641791;0;2;275;27.220833333333335;11.364583333333334
9E6A25;267;;3;0;0;0;0;1;0;0;263;2025-03-16_05:04;2025-03-16_05:04;;;2025-02-28_08:30;2025-03-05_07:59;2025-03-16_06:03;2025-03-27_13:13;2.0299625468164795;1;3;1.1348314606741574;0;2;276;27.196527777777778;11.339583333333334
9E7928;265;;2;0;0;0;0;1;0;0;262;2025-03-16_05:09;2025-03-16_05:09;;;2025-03-05_10:26;2025-03-05_12:06;2025-03-16_06:07;2025-03-27_13:56;1.9924528301886792;1;3;0.9622641509433962;0;2;276;22.145833333333332;11.365972222222222
9E7CE0;258;;2;0;0;0;0;1;0;0;255;2025-03-11_23:18;2025-03-11_23:18;;;2025-02-28_08:56;2025-03-04_14:45;2025-03-12_00:15;2025-03-23_22:47;2.0968992248062017;1;3;0.8410852713178295;0;2;293;23.577083333333334;11.978472222222223
9E7981;255;;2;0;0;0;0;1;0;0;252;2025-03-11_23:09;2025-03-11_23:09;;;2025-02-28_08:53;2025-03-04_14:58;2025-03-12_00:07;2025-03-25_00:59;1.9098039215686275;1;3;0.8901960784313725;0;2;319;24.670833333333334;13.07638888888889
9E6A1A;250;;2;0;0;0;0;1;0;0;247;2025-03-16_05:09;2025-03-16_05:09;;;2025-02-28_08:49;2025-03-05_07:50;2025-03-16_06:07;2025-03-27_13:48;1.688;1;3;0.704;0;2;275;27.207638888888887;11.360416666666667
9E7CEC;246;;3;0;0;0;0;1;0;0;242;2025-03-16_05:06;2025-03-16_05:06;;;2025-02-28_08:33;2025-03-05_08:13;2025-03-16_06:05;2025-03-27_13:26;1.589430894308943;1;3;0.5528455284552846;0;2;274;27.20347222222222;11.347222222222221
9E6FC4;245;;2;0;0;0;0;1;0;0;242;2025-03-16_05:03;2025-03-16_05:03;;;2025-02-28_08:46;2025-03-05_08:56;2025-03-16_06:01;2025-03-27_09:55;1.8775510204081634;1;3;0.5918367346938775;0;2;275;27.047916666666666;11.202777777777778
9E6C11;235;;2;0;0;0;0;0;0;0;233;;;;;2025-02-28_09:47;2025-03-05_07:38;2025-03-11_00:20;2025-03-21_10:54;1.876595744680851;1;3;0.8;0;3;296;21.04652777777778;
