Device;Time (UTC);Raw Data;Position;Radius (m) (Source/Status);Sequence Number;LQI;Link Quality;Operator Name;Country Code;Base Stations (ID, RSSI, Reps);Compression;VeDBA 5;VeDBA 4;VeDBA 3;VeDBA 2;VeDBA 1;Avg. Temp 5 (Â°C);Avg. Temp 4 (Â°C);Avg. Temp 3 (Â°C);Avg. Temp 2 (Â°C);Avg. Temp 1 (Â°C);Min. Temp 2 (Â°C);Pressure (mbar)
9E6DEB;04.04.2025, 08:08;73300;47.768336, 8.9975;2400 (2/1);24;Good;2;SIGFOX_Germany;276;F5F8, -100, 1 | 13C97, -56, 1 | 121E7, -126, 1;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
9E6DEB;04.04.2025, 07:58;73300;47.769904, 8.997573;2500 (2/1);23;Good;2;SIGFOX_Germany;276;F5F8, -102, 2 | 121E7, -126, 2 | 13C97, -56, 2;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
9E6DEB;04.04.2025, 07:47;73300;47.76852, 8.99808;2400 (2/1);22;Good;2;SIGFOX_Germany;276;13C97, -65, 3 | F5F8, -101, 3 | 121E7, -126, 3;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
9E6DEB;04.04.2025, 07:37;009238e38ce159;47.768898, 8.997954;2400 (2/1);21;Good;2;SIGFOX_Germany;276;13C97, -65, 3 | 121E7, -126, 3 | F5F8, -100, 3;VeDBA;0;0;0;0;0;22.0;21.0;21.0;21.0;21.0;>10;971.890
9E6DEB;04.04.2025, 06:37;8,80E+180;47.769191, 8.996596;2400 (2/1);20;Good;2;SIGFOX_Germany;276;121E7, -126, 3 | F5F8, -99, 3 | 13C97, -56, 3;VeDBA & Temp;0;0;0;0;0;20.0;20.0;20.0;20.0;20.0;>10;972.210
9E6DEB;04.04.2025, 05:37;8,80E+189;47.769695, 8.997491;2400 (2/1);19;Good;2;SIGFOX_Germany;276;F5F8, -101, 3 | 13C97, -65, 2 | 121E7, -125, 2;VeDBA & Temp;0;0;0;0;0;20.0;20.0;20.0;20.0;20.0;>10;972.360
9E6DEB;04.04.2025, 04:38;8,80E+164;47.768401, 8.997804;2400 (2/1);18;Good;2;SIGFOX_Germany;276;F5F8, -101, 3 | 121E7, -126, 3 | 13C97, -63, 3;VeDBA & Temp;0;0;0;0;0;20.0;20.0;20.0;20.0;20.0;>10;971.990
9E6DEB;04.04.2025, 03:38;8,80E+174;47.768607, 8.99735;2400 (2/1);17;Good;2;SIGFOX_Germany;276;F5F8, -100, 3 | 121E7, -124, 3 | 13C97, -64, 3;VeDBA & Temp;0;0;0;0;0;20.0;20.0;20.0;20.0;20.0;>10;972.150
9E6DEB;04.04.2025, 02:38;0088e16f;47.769686, 8.997856;2400 (2/1);16;Good;2;SIGFOX_Germany;276;13C97, -61, 3 | F5F8, -100, 3 | 121E7, -126, 3;VeDBA & Temp;0;0;0;0;0;20.0;20.0;20.0;20.0;20.0;>10;972.110
9E6DEB;04.04.2025, 01:38;8,80E+183;47.769642, 8.997174;2400 (2/1);15;Good;2;SIGFOX_Germany;276;13C97, -64, 3 | F5F8, -100, 3 | 121E7, -126, 3;VeDBA & Temp;0;0;0;0;0;20.0;20.0;20.0;20.0;20.0;>10;972.300
