device;computedLocation_lat;computedLocation_lng;computedLocation_radius;computedLocation_source;country;data;lqi;nbFrames;operator;rolloverCounter;seqNumber;time
009E6A24;41.032477;13.932462;7600;2;ITA;0506040130b2baeb90dbd7;3;3;SIGFOX_Italy_EIT_Smart;0;12;1744140958000
009E6A24;40.848049;14.082617;9600;2;ITA;03010100029218a494f1fd;0;3;SIGFOX_Italy_EIT_Smart;0;11;1744130181000
009E6A24;41.316313;13.297453;17900;2;ITA;005d65d75df389;1;3;SIGFOX_Italy_EIT_Smart;0;7;1744086794000
009E6A24;41.312399;13.280223;17600;2;ITA;005d75d759f358;1;3;SIGFOX_Italy_EIT_Smart;0;6;1744075878000
009E6A24;41.305904;13.284923;17600;2;ITA;005d75d85df2ed;1;3;SIGFOX_Italy_EIT_Smart;0;5;1744064965000
009E6A24;41.334509;13.281752;9100;2;ITA;01;1;3;SIGFOX_Italy_EIT_Smart;0;4;1744054163000
009E6A24;;;;;DEU;071000;2;3;SIGFOX_Germany;0;3;1743495939000
009E6A24;47.816873;9.008226;7900;2;DEU;072300;2;3;SIGFOX_Germany;0;2;1741952596000
009E6A24;;;;;DEU;072300;2;3;SIGFOX_Germany;0;1;1741950543000
009E6A2B;;;;;DEU;071000;2;3;SIGFOX_Germany;0;5;1743495642000
009E6A2B;;;;;DEU;072300;2;3;SIGFOX_Germany;0;4;1741952505000
009E6A2B;47.817062;9.008042;7700;2;DEU;072303;2;3;SIGFOX_Germany;0;3;1741951884000
009E6A2B;;;;;DEU;072305;2;3;SIGFOX_Germany;0;2;1741951585000
009E6A2B;;;;;DEU;072305;2;3;SIGFOX_Germany;0;1;1741950955000
009E6A2B;;;;;DEU;072305;2;3;SIGFOX_Germany;0;0;1741950324000
009E6C00;;;;;DEU;071000;2;3;SIGFOX_Germany;0;6;1743495215000
009E6C00;;;;;DEU;072300;2;3;SIGFOX_Germany;0;5;1741952262000
009E6C00;47.817667;9.008219;8000;2;DEU;072303;2;3;SIGFOX_Germany;0;4;1741951647000
009E6C00;;;;;DEU;072305;2;3;SIGFOX_Germany;0;3;1741951390000
009E6C00;;;;;DEU;072305;2;3;SIGFOX_Germany;0;2;1741950765000
009E6C00;;;;;DEU;072305;2;3;SIGFOX_Germany;0;1;1741950139000
009E6C00;;;;;DEU;072302;2;3;SIGFOX_Germany;0;0;1741949518000
009E6C10;41.339203;13.300819;9800;2;ITA;0059f374;1;3;SIGFOX_Italy_EIT_Smart;0;9;1744087071000
009E6C10;41.317456;13.214727;10500;2;ITA;005d75d759f35c;1;3;SIGFOX_Italy_EIT_Smart;0;8;1744075990000
009E6C10;41.342723;13.315114;11300;2;ITA;006185d659f2d1;1;3;SIGFOX_Italy_EIT_Smart;0;7;1744064915000
009E6C10;41.300659;13.374468;8500;2;ITA;008dc61861f21d;3;3;SIGFOX_Italy_EIT_Smart;0;6;1744053840000
009E6C10;41.294655;13.356525;9500;2;ITA;0076392598f1d9;3;3;SIGFOX_Italy_EIT_Smart;0;5;1744042801000
009E6C10;;;;;DEU;071000;2;3;SIGFOX_Germany;0;3;1743494792000
009E6C10;47.817079;9.009745;8400;2;DEU;072300;2;3;SIGFOX_Germany;0;2;1741951459000
009E6C10;;;;;DEU;072300;2;3;SIGFOX_Germany;0;1;1741949105000
009E6DD5;;;;;DEU;071000;2;3;SIGFOX_Germany;0;4;1743505887000
009E6DD5;47.816317;9.00779;8400;2;DEU;072300;2;3;SIGFOX_Germany;0;3;1741937841000
009E6DD5;;;;;DEU;072303;2;3;SIGFOX_Germany;0;2;1741937229000
009E6DD5;;;;;DEU;072300;2;3;SIGFOX_Germany;0;1;1741868070000
009E6DDA;41.1859;13.401233;15700;2;ITA;0081b65865f26f;2;3;SIGFOX_Italy_EIT_Smart;0;6;1744053675000
